Id	quartile	guideScore	mfe	gq	dr	result
PPIB-23	4	0.999864332456219	-12.1	0	0	....((((((.(..(((...(((.((((.......)).)))))...)))..).))))))..... (-12.10)
PPIB-24	4	1.1917715390724837	-10.6	0	0	....((((((.((((.........))))..............)))))).((((....))))... (-10.60)
PPIB-25	4	1.2648272705544397	-10.9	0	0	..........(((((......((((((.....................)))))).))))).... (-10.90)
PPIB-26	2	0.48014399402003116	-14.2	0	0	.....((((..((........((((((..........))))))..(((.....)))))..)))) (-14.20)
PPIB-27	3	0.6997147198510261	-10.0	0	0	(.(((((....((((.........)))).))))).)...((((..(((.....)))..)))).. (-10.00)
PPIB-28	3	0.7512875538320187	-12.7	0	0	.....................((((((((.....(((..........)))....))).))))). (-12.70)
PPIB-29	3	0.8259793253558257	-14.1	0	0	(.(((((....((((.........)))).))))).)(((((............)))))...... (-14.10)
PPIB-30	3	0.7711993268352619	-10.4	0	0	.....................((((((........)))))).(((.........)))....... (-10.40)
PPIB-31	4	0.9604103961389892	-6.9	0	0	(.(((((....((((.........)))).))))).)............................ ( -6.90)
PPIB-32	4	1.1083316523542028	-6.7	0	1	..(((((....((((.........)))).))))).............................. ( -6.70)
PPIB-33	4	1.3355442358920193	-6.9	0	1	..(((((....((((.........)))).)))))..((.(((.((.....)).))).))..... ( -6.90)
PPIB-35	4	1.0389697071826127	-9.5	0	0	(.(((((....((((.........)))).))))).)...(((.((((....)))).)))..... ( -9.50)
PPIB-36	4	1.4336111891793215	-8.2	0	1	..(((((....((((.........)))).))))).....((((.((......).).)))).... ( -8.20)
PPIB-37	4	1.3151481998185548	-8.3	0	0	......(((..(((((.........(.(((......))).)..........)))).)..))).. ( -8.30)
PPIB-40	4	1.1231461368912539	-11.5	0	1	..(((((....((((.........)))).)))))......(((.((.(((...))).)).))). (-11.50)
PPIB-41	3	0.9414688505171572	-16.6	0	0	(.(((((....((((.........)))).))))).)((((..(((.....)))..))))..... (-16.60)
PPIB-43	3	0.7551373603601601	-12.3	0	1	..(((((....((((.........)))).)))))....(.((.((((((...)))))).))).. (-12.30)
PPIB-45	2	0.5203212652173501	-10.9	0	1	..(((((....((((.........)))).)))))..(((...(((.((.....)).))).))). (-10.90)
PPIB-46	4	1.320575481914315	-10.2	0	0	(.(((((....((((.........)))).))))).)(((.((((......)).)).)))..... (-10.20)
PPIB-47	4	2.417907145186563	-9.7	0	0	(.(((((....((((.........)))).))))).)..((((((.(.........).).))))) ( -9.70)
PPIB-48	4	1.138009535751015	-11.2	0	0	.........((((..........((((((.....((........))......)))))))))).. (-11.20)
PPIB-49	3	0.818533625442816	-14.0	0	0	.....(((((.(.(((.....((.(((........))).)).....))).).)))))....... (-14.00)
